step,agent,x,y,z,z_error,rpm0,rpm1,rpm2,rpm3
0,PID,0.0,-2.058425166502025e-05,0.10188001911380783,-0.8981199808861922,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
1,PID,0.0,-0.00045170872732159314,0.106873102320045,-0.893126897679955,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
2,PID,0.0,-0.0024699949861621577,0.11479162050837129,-0.8852083794916287,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
3,PID,0.0,-0.007951891750575358,0.12489528045089207,-0.875104719549108,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
4,PID,0.0,-0.018852601073585683,0.13525124292031362,-0.8647487570796863,21666.447500000002,21666.447500000002,20846.41697065089,20846.41697065089
0,SAC_Nominal,9.427781583740227e-07,-2.1199137679290093e-05,0.10179099720721878,-0.8982090027927813,20739.823043666645,21505.03415584847,21644.554344837125,21600.339836051036
1,SAC_Nominal,1.773935337678852e-05,-0.0003328335831038527,0.10519759970543163,-0.8948024002945684,21432.968904693615,21664.180515910924,16532.515009644692,14033.18188671698
2,SAC_Nominal,0.00011287012568171194,-0.0013942250143256169,0.10892973233740329,-0.8910702676625967,21570.471111420527,21676.91967572735,12211.736867907755,14464.084484938883
3,SAC_Nominal,0.000377093331263904,-0.0036428593242429424,0.11291829186827744,-0.8870817081317226,21608.715756015634,21673.76463807582,14987.448184521325,14594.270212388616
4,SAC_Nominal,0.0008672094382980272,-0.007310457154418415,0.1170045477063397,-0.8829954522936603,21638.369746636236,21672.804802923118,14145.527874825899,12475.299580653189
5,SAC_Nominal,0.0016913202446196321,-0.012595720483514046,0.1213455015233139,-0.8786544984766861,21646.49471239649,21646.1454462358,15305.376115545076,15747.653148399982
6,SAC_Nominal,0.0029378787216541307,-0.01940723813056911,0.12568786848226007,-0.8743121315177399,21655.08536637099,21615.288427728392,12334.81826293346,12699.439198905795
7,SAC_Nominal,0.004758437483013172,-0.02771407776807038,0.1303949382880303,-0.8696050617119697,21644.691464144653,21389.45422180727,16162.053567318666,16893.966678603392
8,SAC_Nominal,0.007254339364454663,-0.037308877553571214,0.13565951569459112,-0.8643404843054089,21646.73919870897,21240.891919991973,14337.265941993839,15442.9494690825
9,SAC_Nominal,0.01045777154062422,-0.04788202478378751,0.14146982084535475,-0.8585301791546452,21644.551757680376,20630.285414205315,15599.181397070786,16140.779377397776
10,SAC_Nominal,0.014377405142445905,-0.05914537719130631,0.14806547939142867,-0.8519345206085713,21651.888934211525,20394.912361362352,16110.877019729573,16752.93170934006
11,SAC_Nominal,0.018931153217939332,-0.07081056426658552,0.15548536131207588,-0.8445146386879241,21662.0422308605,20684.18623784776,16211.01421515496,15777.537395970965
12,SAC_Nominal,0.023990213807355654,-0.08263823018803365,0.16376232149011058,-0.8362376785098894,21665.433993354276,20809.427908756224,15883.221455459396,16518.31151911013
13,SAC_Nominal,0.029395408997827513,-0.09442577171393357,0.17292729344522811,-0.8270727065547718,21673.124316781228,21167.0415306825,16331.66626999634,15630.501516635699
14,SAC_Nominal,0.03496774235363781,-0.10598785115810816,0.18319157649730666,-0.8168084235026933,21681.1432091149,21318.275071837863,16887.50396105233,17146.195057645382
15,SAC_Nominal,0.04052078605262482,-0.1172063829574108,0.19433217824702684,-0.8056678217529731,21685.664265528223,21512.553726930197,15797.38347536816,14336.255657284597
16,SAC_Nominal,0.045859416917606914,-0.12793237560386367,0.2067471422327595,-0.7932528577672405,21689.97705582351,21532.274329225223,17918.19486912824,18672.60201473951
17,SAC_Nominal,0.05086172260711395,-0.13815342636347003,0.21990137744938434,-0.7800986225506157,21693.868139569226,21644.365482394678,14918.667328855292,11375.217247919232
18,SAC_Nominal,0.05535321578798819,-0.14777430787529763,0.23422464935443957,-0.7657753506455605,21689.306982226342,21606.182929561473,18201.127624429635,19481.820663167753
19,SAC_Nominal,0.05927339125188508,-0.1567754411828134,0.24952558751233123,-0.7504744124876688,21694.56925904734,21679.04890572916,16383.140340611202,11974.150502468743
20,SAC_Nominal,0.06259830371972798,-0.16521693771607782,0.2655317715423694,-0.7344682284576306,21685.713421506396,21664.807901421787,14406.750504294736,17711.89757737319
21,SAC_Nominal,0.065225998320473,-0.17299646867725352,0.28293616713466585,-0.7170638328653341,21691.801001329313,21685.934623408164,19639.564784273975,17175.247534322585
22,SAC_Nominal,0.06724093759158685,-0.1802696349119644,0.30074522090825806,-0.6992547790917419,21684.584127586844,21693.521460565284,13055.508288254816,8598.95551370799
23,SAC_Nominal,0.06869390247778688,-0.18706488083730724,0.3191324256626978,-0.6808675743373023,21665.621562218348,21638.715132061803,14404.980889080594,19569.28596485211
24,SAC_Nominal,0.06955736493051304,-0.19319150940248941,0.3390280482995656,-0.6609719517004344,21664.9075069565,21678.994575437497,19120.81139801259,17446.44235946819
25,SAC_Nominal,0.06988818742475404,-0.19874110842725395,0.35960826876276075,-0.6403917312372392,21664.118424149023,21693.52404772203,15886.420474775603,9603.989588335588
26,SAC_Nominal,0.06980016090362692,-0.20381483166535902,0.3804706297444758,-0.6195293702555242,21572.641735930272,21610.742793325982,10725.098390732019,17690.659607646743
27,SAC_Nominal,0.06936933577171565,-0.20824706437010138,0.40235026794370926,-0.5976497320562908,21476.12009205717,21541.844222028016,16641.93233631734,18592.366522581353
28,SAC_Nominal,0.06858644930302031,-0.21188335602722774,0.4252728948993238,-0.5747271051006761,21217.63467442541,21624.435320403245,17972.306546045467,13882.47353838102
29,SAC_Nominal,0.06747396786489157,-0.21475535645641197,0.4485753708705221,-0.5514246291294779,20711.575172737397,21590.738897367293,12961.448324025361,14772.025990923763
30,SAC_Nominal,0.06610108233588464,-0.21680198612008533,0.47221231012296894,-0.5277876898770311,19875.456562044474,21312.673877483157,13780.701259892274,17429.50165709655
31,SAC_Nominal,0.06450495224809316,-0.2178441630741808,0.4963949250702574,-0.5036050749297426,19858.270079781985,21163.81405264209,16697.33888518585,15581.671520215068
32,SAC_Nominal,0.0627121841019133,-0.21784586260511976,0.5207893034760092,-0.47921069652399084,18825.04375809517,21067.359674844378,14603.193316004952,14565.035341160834
33,SAC_Nominal,0.06078108234704124,-0.21683249786583103,0.5451006182568308,-0.45489938174316924,18189.33795113893,20418.342946430883,13377.561440709778,16057.980012904509
34,SAC_Nominal,0.05877034123653141,-0.21480627789436604,0.5692346211128545,-0.4307653788871455,17964.397607873492,18853.928069583893,15234.193084840546,14937.01673807503
35,SAC_Nominal,0.05671121707131594,-0.21187819328529747,0.5928338730670453,-0.40716612693295473,16912.290216255675,18394.141159873267,13932.425067250966,13455.802235016909
36,SAC_Nominal,0.05462987758205228,-0.2082441381422312,0.6154167731937638,-0.38458322680623624,16438.35932061564,16630.27072728555,12259.60832275406,13099.924595267077
37,SAC_Nominal,0.05254890527554652,-0.20405036334892898,0.6368033504790004,-0.3631966495209996,16840.743690028357,15414.50238708382,12887.697540250605,12867.108946867358
38,SAC_Nominal,0.05046834384702969,-0.19942009826454196,0.6569745811336045,-0.3430254188663955,17037.02221728521,16194.501687224756,12702.937034826145,11932.242443921556
39,SAC_Nominal,0.04837427962537312,-0.19448860884521005,0.6758995016351923,-0.3241004983648077,17483.013113648747,15870.905295770912,11992.850471427539,12160.67415521548
