step,agent,x,y,z,z_error,rpm0,rpm1,rpm2,rpm3
0,PID,0.0,-2.058425166502025e-05,0.10188001911380783,-0.8981199808861922,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
1,PID,0.0,-0.00045170872732159314,0.106873102320045,-0.893126897679955,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
2,PID,0.0,-0.0024699949861621577,0.11479162050837129,-0.8852083794916287,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
3,PID,0.0,-0.007951891750575358,0.12489528045089207,-0.875104719549108,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
4,PID,0.0,-0.018852601073585683,0.13525124292031362,-0.8647487570796863,21666.447500000002,21666.447500000002,20846.41697065089,20846.41697065089
0,SAC_Nominal,9.088061787214769e-07,-2.112333068085029e-05,0.10179258206201526,-0.8982074179379848,20787.874305906786,21506.77272518166,21641.425178753052,21589.187896898173
1,SAC_Nominal,1.6838563574804954e-05,-0.0003279782081654488,0.1051632279510184,-0.8948367720489816,21459.14834380458,21666.43134227979,16256.892265728611,13875.656380355782
2,SAC_Nominal,0.00010910745891683578,-0.0013917546315304627,0.10893933411115599,-0.891060665888844,21574.566580549163,21677.926079701472,12965.658921629187,14993.148984410742
3,SAC_Nominal,0.00035861314580492757,-0.0036125509011366145,0.11292089804695943,-0.8870791019530406,21615.544556246226,21676.518666431744,14452.44745389618,13661.42945317479
4,SAC_Nominal,0.0008341298566418176,-0.007279625439367124,0.11710843607606729,-0.8828915639239328,21638.58059991102,21670.69756375365,15224.134219412792,13726.201509463173
5,SAC_Nominal,0.0016281935953634903,-0.012492173157983951,0.12137328845098595,-0.8786267115490141,21651.128310128253,21651.01964954493,13116.53026084013,14286.764642315407
6,SAC_Nominal,0.002876840681888383,-0.019311074248244735,0.12590565685051025,-0.8740943431494897,21655.752852811413,21615.07369371849,15751.831406544485,15082.843121631624
7,SAC_Nominal,0.00466818238693123,-0.02756046248772787,0.13057730899661957,-0.8694226910033804,21646.705565671273,21474.847210938224,12365.310492339711,14349.473441098999
8,SAC_Nominal,0.007147261215499319,-0.03708733821499617,0.13579252985227228,-0.8642074701477277,21646.51282249371,20958.613715347266,16630.08833273497,17124.191289522172
9,SAC_Nominal,0.01035881369455377,-0.04759722390252167,0.1416747024191201,-0.8583252975808799,21645.040730305336,20889.637529346925,14319.065294286986,15920.84906317062
10,SAC_Nominal,0.014282929700032638,-0.05878165104049471,0.14835540105454353,-0.8516445989454564,21655.164274651735,20519.578389894876,17115.984828324425,16555.014218284727
11,SAC_Nominal,0.018833293950036988,-0.0703586441814069,0.1558796680607429,-0.8441203319392571,21661.8417262127,20639.512508739288,15621.833247958824,15957.65136787993
12,SAC_Nominal,0.02388959611409047,-0.0820938754190091,0.1643017600849727,-0.8356982399150273,21668.426040130817,20782.649542858602,16455.173252306733,16660.54434194678
13,SAC_Nominal,0.02928561189236494,-0.09379996907428738,0.1735236582630379,-0.826476341736962,21674.172115263285,21175.52999196554,15602.857746806598,14941.099271419935
14,SAC_Nominal,0.03485379433222269,-0.10528914065215222,0.1839561746881377,-0.8160438253118623,21684.395265144398,21257.64117276442,17764.41168499987,18188.48030867769
15,SAC_Nominal,0.04041473833990857,-0.116477208308991,0.19500174681875013,-0.8049982531812498,21686.41454098451,21527.69118105,13931.18581916972,11388.397517960819
16,SAC_Nominal,0.045768986951843955,-0.12716800580362486,0.20739753573154987,-0.7926024642684502,21688.541183829577,21401.55435390748,19288.213375250958,20320.00253136547
17,SAC_Nominal,0.05081334794658347,-0.13731932246642584,0.22059573213893627,-0.7794042678610638,21694.659809533445,21643.765262029647,13685.978983535888,10541.901174771223
18,SAC_Nominal,0.05535502138291072,-0.14683397300869272,0.2350721566735471,-0.7649278433264529,21691.69880863785,21591.117915830557,19473.275284436306,20103.801603587413
19,SAC_Nominal,0.059357882087705593,-0.155741996980505,0.2503392031735338,-0.7496607968264661,21695.0297729481,21681.811989133697,14243.709179751448,9927.001929154063
20,SAC_Nominal,0.06275719108439193,-0.16407784888973515,0.2664148393138193,-0.7335851606861807,21685.974724337724,21658.21453245506,16604.998086613996,18799.101043826446
21,SAC_Nominal,0.06547495244540127,-0.1717517601168647,0.28381261194147755,-0.7161873880585224,21692.458139142753,21688.56834897541,18525.55966751238,15506.602580078315
22,SAC_Nominal,0.06759728478911141,-0.17892269570214464,0.30164600292113886,-0.6983539970788611,21684.44442112257,21690.424633940536,12967.084444996133,12250.837861385726
23,SAC_Nominal,0.0691382178237768,-0.18557888438993034,0.32034362341461414,-0.6796563765853858,21675.57823495464,21662.824845776115,16321.124899835491,19205.31052448786
24,SAC_Nominal,0.07010791050633494,-0.19164947014086325,0.3401855514362303,-0.6598144485637697,21673.106206684006,21688.618798531952,17833.1356232175,14127.673906122987
25,SAC_Nominal,0.07057430788723074,-0.19720866454802083,0.36068893495061743,-0.6393110650493825,21655.3427884672,21680.89354848893,14115.208984921619,15370.383603097329
26,SAC_Nominal,0.07061747571276875,-0.20226645967991347,0.38186767387024084,-0.6181323261297591,21595.649320870863,21645.15844593727,14577.399363249115,16813.130966080204
27,SAC_Nominal,0.07028229086736192,-0.20674220368122484,0.40383654372721534,-0.5961634562727847,21498.783585150562,21623.818283519366,15807.884744599449,15792.185877465805
28,SAC_Nominal,0.06959608747269873,-0.2105309899740918,0.4265442469646944,-0.5734557530353056,21280.58149162962,21586.079428068068,15352.115689315084,16011.363329079926
29,SAC_Nominal,0.06859090952444073,-0.2135155559207685,0.4499170624336422,-0.5500829375663578,20589.438089923915,21503.344742493446,15597.23197446281,16036.471685298124
30,SAC_Nominal,0.06730826471146643,-0.2156047358070055,0.4737523590372419,-0.5262476409627581,19854.109931734703,21403.428748969825,15286.412256598203,15206.310003012457
31,SAC_Nominal,0.06581078871678148,-0.2167445773687035,0.4978022069320779,-0.5021977930679221,19310.605216886044,21197.94123727622,14055.831150448274,15590.26346776794
32,SAC_Nominal,0.06417289023162603,-0.21684730434760674,0.5220434552716602,-0.4779565447283398,19182.53966438951,20791.094022476962,14461.286474918279,16397.273977913625
33,SAC_Nominal,0.06245111092028745,-0.21584535287978807,0.5464111551725485,-0.45358884482745154,18408.622769758003,19963.51302904525,15508.275176914489,15472.406835790422
34,SAC_Nominal,0.06067398320807977,-0.21380765937484483,0.5705293765031338,-0.42947062349686616,17214.52445445927,19143.194184599062,14382.053505999125,14513.509527411055
35,SAC_Nominal,0.058861627183892,-0.21090972960128046,0.593905546209637,-0.406094453790363,16647.577512336724,18016.142036368292,13249.087117447409,13167.91378096889
36,SAC_Nominal,0.057036999379797185,-0.2073262213980211,0.6161966924599077,-0.3838033075400923,16650.257806725393,15778.944809240693,12425.615822506436,13449.717242350736
37,SAC_Nominal,0.05520907394362251,-0.20318239629936147,0.6373520750262504,-0.36264792497374965,17097.52546494299,16069.73993389264,13354.842323746348,12456.273629944419
38,SAC_Nominal,0.05336295607120946,-0.19862162459909363,0.657275844280822,-0.342724155719178,17053.292846059685,16291.509716566074,12054.688691966161,11750.61239815954
39,SAC_Nominal,0.05148106986455816,-0.1937792714294658,0.675961982524699,-0.32403801747530103,17669.507014092906,15538.43883741402,12330.597316702653,12492.029429750042
