step,agent,x,y,z,z_error,rpm0,rpm1,rpm2,rpm3
0,PID,0.0,-1.4087033473187729e-05,0.10237623794062817,-0.8976237620593719,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
1,PID,0.0,-0.0003094920997956501,0.10870222325570089,-0.8912977767442991,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
2,PID,0.0,-0.0017003604484820255,0.11889476033434299,-0.881105239665657,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
3,PID,0.0,-0.005542226691420383,0.13262914948427718,-0.8673708505157228,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
4,PID,0.0,-0.013604990840681123,0.14907311472708334,-0.8509268852729166,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
5,PID,0.0,-0.026982627744588306,0.16601885005963427,-0.8339811499403658,19873.469156069536,19873.469156069536,19014.269156069535,19014.269156069535
0,SAC_Nominal,1.296654723598354e-06,-1.5245674689795125e-05,0.10226495961530672,-0.8977350403846933,20777.82837626276,21506.647248079487,21642.04221563693,21591.93804451898
1,SAC_Nominal,2.762803127899307e-05,-0.00030705826210249647,0.10793711938051428,-0.8920628806194857,21382.74701794373,21626.841376176857,20276.044151097216,19598.597157203894
2,SAC_Nominal,0.00013552239102206028,-0.001332928626195805,0.11549282016139988,-0.8845071798386002,21534.142256395706,21661.448478387338,13631.692673538319,14021.819094289332
3,SAC_Nominal,0.00043940655326500135,-0.00368686730822085,0.12520267371120225,-0.8747973262887978,21538.65943207391,21626.24762370369,20020.241615010877,19325.86556095127
4,SAC_Nominal,0.0010156791566095448,-0.007478790115863819,0.13639203131670974,-0.8636079686832903,21549.366380266492,21629.400074198475,12791.829153455821,12009.04089834289
5,SAC_Nominal,0.002048002305743806,-0.012885073367939304,0.14929883430591723,-0.8507011656940828,21544.389984265905,21294.94667946079,19293.073349197984,18738.781484297622
6,SAC_Nominal,0.003663389235939432,-0.019663954123615712,0.1636177208062155,-0.8363822791937845,21487.49840742529,20716.996559698266,11599.662150667846,15064.718795048771
7,SAC_Nominal,0.005954663832192442,-0.027435308472606487,0.17923512577966597,-0.8207648742203341,21218.520775610854,16629.56831422906,18632.493323709044,18169.845018637538
8,SAC_Nominal,0.008884500004733616,-0.03579434495704795,0.19643555109469485,-0.8035644489053051,21094.938765754832,20671.815747867615,14969.229426717251,17022.78250655621
9,SAC_Nominal,0.012272206230596716,-0.0443034923887436,0.21576281982496565,-0.7842371801750343,20720.186523965862,19760.408288714545,19739.06812629664,19129.40334556546
10,SAC_Nominal,0.015834606284758447,-0.052509930621649714,0.23767784406829198,-0.762322155931708,21020.777917635864,21082.87614742744,19078.11166950118,18891.860961791128
11,SAC_Nominal,0.01925444152101391,-0.06014630532436444,0.2620765614657269,-0.7379234385342731,20858.21909782567,21284.037933042036,18853.834931941044,18109.005440602803
12,SAC_Nominal,0.022282679307607616,-0.067099350747662,0.2885529841364985,-0.7114470158635016,20146.196047602818,21264.702817102137,17244.14093130706,17546.448903477914
13,SAC_Nominal,0.024730653274267152,-0.07327456617247842,0.31693123737005235,-0.6830687626299476,19665.93955371925,20939.385966412323,18167.8076327002,17838.934735063256
14,SAC_Nominal,0.026499045782729224,-0.07862972110043238,0.346919388644094,-0.653080611355906,19052.156019448725,20869.14466076327,17305.294848886413,16356.554717891142
15,SAC_Nominal,0.02758935057346305,-0.0831716212087027,0.3782412681319532,-0.6217587318680469,18741.133209779575,19975.32081243318,16454.963692610323,17611.70993239126
16,SAC_Nominal,0.02809138326992393,-0.0869605341946228,0.41046235215564464,-0.5895376478443554,18372.905777303564,19432.808272196544,16265.640736264606,14513.809637593571
17,SAC_Nominal,0.02814178733110084,-0.09008487009623782,0.4430398890855659,-0.5569601109144341,17001.36084870081,16582.901180847934,13422.246812023604,17562.28747707583
18,SAC_Nominal,0.027844383029772764,-0.0926355808556667,0.4754726076926928,-0.5245273923073073,17361.258930033648,17863.071613923395,15358.972948269882,10325.219035838445
19,SAC_Nominal,0.027270562460283285,-0.09469052308353185,0.5073128779002705,-0.49268712209972954,13854.360199602554,14304.648363320897,10873.094105219985,17482.733700720197
20,SAC_Nominal,0.026466603144117685,-0.09629644558947285,0.5383459111042596,-0.46165408889574044,16522.809291112742,16390.477517142353,14955.34933077592,8690.764004779392
21,SAC_Nominal,0.02544945793698271,-0.09752489180938687,0.5683182310200012,-0.43168176897999877,13285.198651305582,14606.419500466993,10264.820568028874,15174.035222608334
22,SAC_Nominal,0.024259956497762244,-0.09842709428341902,0.5969841005618914,-0.40301589943810856,15363.792821287348,14034.722538559117,13178.045086785527,9783.91793174804
23,SAC_Nominal,0.022910996891540625,-0.09904152084328303,0.6242123153643454,-0.3757876846356546,12337.921557450074,14738.517136751885,10603.058973085694,13438.314348993528
24,SAC_Nominal,0.021425225250985867,-0.09939799177912334,0.6498611229346875,-0.35013887706531255,14633.543251790183,13353.507350865504,11803.919469328815,10144.66201333676
25,SAC_Nominal,0.019806091688028347,-0.0994909539707065,0.6741166039159655,-0.3258833960840345,13644.623282953933,14628.211121737046,11734.665163978296,13458.151373342114
26,SAC_Nominal,0.018057163125744197,-0.09931441206521396,0.6970984246250094,-0.30290157537499063,14896.60146897018,14279.321392357679,12752.477205773506,10996.579096698038
27,SAC_Nominal,0.016184602572613827,-0.09886833394250433,0.7188967888076755,-0.2811032111923245,13619.879715836898,14902.793828641305,12128.579182205192,13749.783443201335
28,SAC_Nominal,0.014207622566872026,-0.09817102016072804,0.7394316815458608,-0.2605683184541392,15270.089884688818,13625.50678175906,12535.038323492576,10805.217460836615
29,SAC_Nominal,0.01213943257047041,-0.09723940233929333,0.7587315358825482,-0.24126846411745184,13910.035812772629,14627.313378346245,12175.832306589247,13327.754792617598
30,SAC_Nominal,0.009989735366245237,-0.09608723140639974,0.7768624716670628,-0.2231375283329372,15373.675760056385,13987.087808555054,13049.856644343568,11355.826508109301
31,SAC_Nominal,0.0077669396202500185,-0.09473340056357223,0.7939614618507398,-0.2060385381492602,14579.560932710248,15089.988848563582,12600.251490006123,13562.182239669963
