TC,Controller,Mean_Error,Std_Dev,Episodes_Completed,Avg_Crash_Step
TC-1,DR SAC,0.019539,0.000276,5,N/A
TC-1,Nominal,0.027698,0.000263,5,N/A
TC-1,PID,0.021965,0.000000,5,N/A
TC-2,DR SAC,0.035042,0.000542,5,N/A
TC-2,Nominal,0.035332,0.000426,5,N/A
TC-2,PID,0.049709,0.000000,5,N/A
TC-3,DR SAC,0.041329,0.000006,5,N/A
TC-3,Nominal,0.050554,0.000097,5,N/A
TC-3,PID,0.870384,0.000000,0,6.0
TC-4,DR SAC,0.059760,0.000293,5,N/A
TC-4,Nominal,0.130630,0.005831,0,678.2
TC-4,PID,0.883064,0.000000,0,5.0
